stream_id,step,fraction,processed,true_f0,estimate
15,1,0.1,20000,19379,19596.9
15,2,0.15,30000,28985,29610.3
15,3,0.2,40000,38543,39202.9
15,4,0.25,50000,48075,49068.3
15,5,0.3,60000,57622,59607.5
15,6,0.35,70000,67176,69755.9
15,7,0.4,80000,76644,79007.2
15,8,0.45,90000,86129,86561.9
15,9,0.5,100000,95607,97018.4
15,10,0.55,110000,105108,108604
15,11,0.6,120000,114571,116969
15,12,0.65,130000,124056,125298
15,13,0.7,140000,133476,134723
15,14,0.75,150000,142905,145720
15,15,0.8,160000,152319,154765
15,16,0.85,170000,161724,162725
15,17,0.9,180000,171139,172326
15,18,0.95,190000,180529,182450
15,19,1,200000,189898,190995
16,0,0.05,10000,9724,9803.82
16,1,0.1,20000,19335,18832.2
16,2,0.15,30000,28926,28566.8
16,3,0.2,40000,38502,37913.8
16,4,0.25,50000,48062,47524.4
16,5,0.3,60000,57594,57425.5
16,6,0.35,70000,67105,67441.5
16,7,0.4,80000,76597,77203.4
16,8,0.45,90000,86098,86823.9
16,9,0.5,100000,95572,94915.6
16,10,0.55,110000,105038,104593
16,11,0.6,120000,114496,114486
16,12,0.65,130000,123956,125441
16,13,0.7,140000,133386,135102
16,14,0.75,150000,142756,144475
16,15,0.8,160000,152193,154239
16,16,0.85,170000,161617,163775
16,17,0.9,180000,171008,172922
16,18,0.95,190000,180415,181885
16,19,1,200000,189807,191298
17,0,0.05,10000,9704,10052.1
17,1,0.1,20000,19313,19079.5
17,2,0.15,30000,28888,28267.3
17,3,0.2,40000,38456,37808.1
17,4,0.25,50000,48038,46975.3
17,5,0.3,60000,57565,56994.1
17,6,0.35,70000,67080,66855.3
17,7,0.4,80000,76570,76464.4
17,8,0.45,90000,86080,86889
17,9,0.5,100000,95581,95720.6
17,10,0.55,110000,105069,104604
17,11,0.6,120000,114489,114384
17,12,0.65,130000,123914,124435
17,13,0.7,140000,133343,132552
17,14,0.75,150000,142804,143057
17,15,0.8,160000,152206,152988
17,16,0.85,170000,161595,162651
17,17,0.9,180000,170968,173905
17,18,0.95,190000,180399,182648
17,19,1,200000,189789,192894
18,0,0.05,10000,9698,9642.75
18,1,0.1,20000,19338,19093.8
18,2,0.15,30000,28913,28747.4
18,3,0.2,40000,38484,38303.9
18,4,0.25,50000,48033,47790.3
18,5,0.3,60000,57569,56127.4
18,6,0.35,70000,67084,66028.7
18,7,0.4,80000,76618,74148.1
18,8,0.45,90000,86155,83627.2
18,9,0.5,100000,95632,93059.8
18,10,0.55,110000,105125,102003
18,11,0.6,120000,114586,112036
18,12,0.65,130000,124016,121147
18,13,0.7,140000,133436,128027
18,14,0.75,150000,142884,137103
18,15,0.8,160000,152315,147223
18,16,0.85,170000,161747,156057
18,17,0.9,180000,171157,165894
18,18,0.95,190000,180542,175192
18,19,1,200000,189911,184049
19,0,0.05,10000,9725,9663.86
19,1,0.1,20000,19362,19198.2
19,2,0.15,30000,28990,28809.5
19,3,0.2,40000,38588,38577.4
19,4,0.25,50000,48131,48529.1
19,5,0.3,60000,57724,57335.5
19,6,0.35,70000,67227,67415.2
19,7,0.4,80000,76749,75805.8
19,8,0.45,90000,86266,84644.5
19,9,0.5,100000,95705,94095.6
19,10,0.55,110000,105174,102744
19,11,0.6,120000,114621,111986
19,12,0.65,130000,124048,121640
19,13,0.7,140000,133500,130390
19,14,0.75,150000,142934,140262
19,15,0.8,160000,152394,151203
19,16,0.85,170000,161819,159304
19,17,0.9,180000,171208,169050
19,18,0.95,190000,180627,177238
19,19,1,200000,190013,184341
20,0,0.05,10000,9713,9914.83
20,1,0.1,20000,19324,19185
20,2,0.15,30000,28925,28579.6
20,3,0.2,40000,38529,38327.7
20,4,0.25,50000,48102,48108.5
20,5,0.3,60000,57681,57413.4
20,6,0.35,70000,67204,67489.2
20,7,0.4,80000,76710,76138.5
20,8,0.45,90000,86227,86754
20,9,0.5,100000,95692,96652.6
20,10,0.55,110000,105115,105300
20,11,0.6,120000,114561,114190
20,12,0.65,130000,123979,123528
20,13,0.7,140000,133392,132732
20,14,0.75,150000,142822,142164
20,15,0.8,160000,152223,153665
20,16,0.85,170000,161621,164677
20,17,0.9,180000,171042,175373
20,18,0.95,190000,180452,184297
20,19,1,200000,189838,195076
21,0,0.05,10000,9708,9270.59
21,1,0.1,20000,19313,18489.9
21,2,0.15,30000,28895,28154.8
21,3,0.2,40000,38472,37476.3
21,4,0.25,50000,48024,46697.5
21,5,0.3,60000,57612,57005.5
21,6,0.35,70000,67097,66334.3
21,7,0.4,80000,76642,75629.7
21,8,0.45,90000,86154,84496.8
21,9,0.5,100000,95623,94433.6
21,10,0.55,110000,105062,103599
21,11,0.6,120000,114501,113668
21,12,0.65,130000,123987,123124
21,13,0.7,140000,133402,132890
21,14,0.75,150000,142859,141508
21,15,0.8,160000,152253,150462
21,16,0.85,170000,161673,158244
21,17,0.9,180000,171062,168975
21,18,0.95,190000,180442,178822
21,19,1,200000,189830,188233
22,0,0.05,10000,9694,9260.98
22,1,0.1,20000,19328,19352.6
22,2,0.15,30000,28943,28803
22,3,0.2,40000,38511,38232.1
22,4,0.25,50000,48066,47563.4
22,5,0.3,60000,57608,56526.2
22,6,0.35,70000,67122,66012
22,7,0.4,80000,76570,76810.9
22,8,0.45,90000,86106,85765.5
22,9,0.5,100000,95580,95046.7
22,10,0.55,110000,105042,106186
22,11,0.6,120000,114457,115210
22,12,0.65,130000,123920,124908
22,13,0.7,140000,133346,135020
22,14,0.75,150000,142778,144034
22,15,0.8,160000,152226,154248
22,16,0.85,170000,161621,163799
22,17,0.9,180000,171044,172459
22,18,0.95,190000,180454,181273
22,19,1,200000,189868,189625
23,0,0.05,10000,9721,9771.09
23,1,0.1,20000,19351,19646.7
23,2,0.15,30000,28919,29240.4
23,3,0.2,40000,38539,38979.2
23,4,0.25,50000,48089,47895.3
23,5,0.3,60000,57607,57295.7
23,6,0.35,70000,67167,66061.3
23,7,0.4,80000,76666,75975.4
23,8,0.45,90000,86140,85957.1
23,9,0.5,100000,95609,95604.5
23,10,0.55,110000,105087,105756
23,11,0.6,120000,114538,114171
23,12,0.65,130000,123984,124573
23,13,0.7,140000,133429,134876
23,14,0.75,150000,142851,144743
23,15,0.8,160000,152278,154338
23,16,0.85,170000,161708,164096
23,17,0.9,180000,171083,173777
23,18,0.95,190000,180470,181771
23,19,1,200000,189902,190310
24,0,0.05,10000,9758,10158.2
24,1,0.1,20000,19379,19324.5
24,2,0.15,30000,28989,28893.1
24,3,0.2,40000,38583,38831
24,4,0.25,50000,48174,48629.4
24,5,0.3,60000,57723,58437.3
24,6,0.35,70000,67206,67691.4
24,7,0.4,80000,76704,77271.7
24,8,0.45,90000,86203,86682.9
24,9,0.5,100000,95688,96693.7
24,10,0.55,110000,105154,106479
24,11,0.6,120000,114625,115697
24,12,0.65,130000,124095,126162
24,13,0.7,140000,133516,135167
24,14,0.75,150000,142976,144870
24,15,0.8,160000,152405,152888
24,16,0.85,170000,161814,161052
24,17,0.9,180000,171223,170018
24,18,0.95,190000,180614,179921
24,19,1,200000,190000,189558
25,0,0.05,10000,9716,9549.06
25,1,0.1,20000,19338,19484.8
25,2,0.15,30000,28934,28869.2
25,3,0.2,40000,38505,38094.5
25,4,0.25,50000,48072,47101.9
25,5,0.3,60000,57594,56384.2
25,6,0.35,70000,67102,66745.9
25,7,0.4,80000,76605,76104.3
25,8,0.45,90000,86121,85199.1
25,9,0.5,100000,95596,94887
25,10,0.55,110000,105058,104672
25,11,0.6,120000,114542,114735
25,12,0.65,130000,124023,122928
25,13,0.7,140000,133472,131292
25,14,0.75,150000,142919,139570
25,15,0.8,160000,152299,147809
25,16,0.85,170000,161726,157035
25,17,0.9,180000,171103,166994
25,18,0.95,190000,180502,176440
25,19,1,200000,189924,185403
26,0,0.05,10000,9702,9457.47
26,1,0.1,20000,19337,19178.7
26,2,0.15,30000,28938,28839.7
26,3,0.2,40000,38520,38817
26,4,0.25,50000,48103,48709.3
26,5,0.3,60000,57667,58486.8
26,6,0.35,70000,67215,68813.9
26,7,0.4,80000,76736,78159.8
26,8,0.45,90000,86246,86966
26,9,0.5,100000,95769,95931.7
26,10,0.55,110000,105270,105514
26,11,0.6,120000,114725,114847
26,12,0.65,130000,124157,122329
26,13,0.7,140000,133603,132144
26,14,0.75,150000,143027,142205
26,15,0.8,160000,152464,151850
