stream_id,step,fraction,processed,true_f0,estimate
20,3,0.2,40000,38529,37360.8
20,4,0.25,50000,48102,46665.1
20,5,0.3,60000,57681,55731.7
20,6,0.35,70000,67204,66546
20,7,0.4,80000,76710,76180.5
20,8,0.45,90000,86227,84954.9
20,9,0.5,100000,95692,95243
20,10,0.55,110000,105115,103777
20,11,0.6,120000,114561,113412
20,12,0.65,130000,123979,124278
20,13,0.7,140000,133392,132380
20,14,0.75,150000,142822,141459
20,15,0.8,160000,152223,152569
20,16,0.85,170000,161621,161791
20,17,0.9,180000,171042,170833
20,18,0.95,190000,180452,180690
20,19,1,200000,189838,192663
21,0,0.05,10000,9708,9256.88
21,1,0.1,20000,19313,19055.5
21,2,0.15,30000,28895,28186.2
21,3,0.2,40000,38472,37901.5
21,4,0.25,50000,48024,47648
21,5,0.3,60000,57612,58042.1
21,6,0.35,70000,67097,68356.4
21,7,0.4,80000,76642,75747.4
21,8,0.45,90000,86154,84266
21,9,0.5,100000,95623,94140
21,10,0.55,110000,105062,102833
21,11,0.6,120000,114501,113123
21,12,0.65,130000,123987,122744
21,13,0.7,140000,133402,134691
21,14,0.75,150000,142859,145974
21,15,0.8,160000,152253,152801
21,16,0.85,170000,161673,158864
21,17,0.9,180000,171062,168770
21,18,0.95,190000,180442,179427
21,19,1,200000,189830,187621
22,0,0.05,10000,9694,9602.98
22,1,0.1,20000,19328,19458
22,2,0.15,30000,28943,28745.2
22,3,0.2,40000,38511,38389
22,4,0.25,50000,48066,48888.8
22,5,0.3,60000,57608,57222.5
22,6,0.35,70000,67122,65734.3
22,7,0.4,80000,76570,75586.9
22,8,0.45,90000,86106,85707.6
22,9,0.5,100000,95580,94823.1
22,10,0.55,110000,105042,108063
22,11,0.6,120000,114457,117289
22,12,0.65,130000,123920,128140
22,13,0.7,140000,133346,135560
22,14,0.75,150000,142778,143123
22,15,0.8,160000,152226,148970
22,16,0.85,170000,161621,162842
22,17,0.9,180000,171044,174749
22,18,0.95,190000,180454,181775
22,19,1,200000,189868,193655
23,0,0.05,10000,9721,9719.01
23,1,0.1,20000,19351,19551.8
23,2,0.15,30000,28919,29276.5
23,3,0.2,40000,38539,38494.8
23,4,0.25,50000,48089,48793.6
23,5,0.3,60000,57607,59681.8
23,6,0.35,70000,67167,70270.3
23,7,0.4,80000,76666,80462.2
23,8,0.45,90000,86140,89756
23,9,0.5,100000,95609,98086.3
23,10,0.55,110000,105087,106867
23,11,0.6,120000,114538,115017
23,12,0.65,130000,123984,125808
23,13,0.7,140000,133429,135411
23,14,0.75,150000,142851,144266
