stream_id,step,fraction,processed,true_f0,estimate
17,5,0.3,60000,57565,55794.6
17,6,0.35,70000,67080,63472.9
17,7,0.4,80000,76570,73105.1
17,8,0.45,90000,86080,83149.6
17,9,0.5,100000,95581,92157
17,10,0.55,110000,105069,100979
17,11,0.6,120000,114489,111791
17,12,0.65,130000,123914,121947
17,13,0.7,140000,133343,129561
17,14,0.75,150000,142804,140925
17,15,0.8,160000,152206,152976
17,16,0.85,170000,161595,161663
17,17,0.9,180000,170968,174798
17,18,0.95,190000,180399,183578
17,19,1,200000,189789,194132
18,0,0.05,10000,9698,9854.38
18,1,0.1,20000,19338,20114.2
18,2,0.15,30000,28913,29492.1
18,3,0.2,40000,38484,39083.7
18,4,0.25,50000,48033,48533.4
18,5,0.3,60000,57569,58006.4
18,6,0.35,70000,67084,69373.4
18,7,0.4,80000,76618,78371
18,8,0.45,90000,86155,88086.5
18,9,0.5,100000,95632,98174.3
18,10,0.55,110000,105125,107469
18,11,0.6,120000,114586,118340
18,12,0.65,130000,124016,126436
18,13,0.7,140000,133436,132758
18,14,0.75,150000,142884,143422
18,15,0.8,160000,152315,154479
18,16,0.85,170000,161747,160745
18,17,0.9,180000,171157,171314
18,18,0.95,190000,180542,179066
18,19,1,200000,189911,189346
19,0,0.05,10000,9725,9626.59
19,1,0.1,20000,19362,18669.5
19,2,0.15,30000,28990,27620.3
19,3,0.2,40000,38588,36519.6
19,4,0.25,50000,48131,47072.9
19,5,0.3,60000,57724,53964.6
19,6,0.35,70000,67227,65422.7
19,7,0.4,80000,76749,73158.4
19,8,0.45,90000,86266,82557.2
19,9,0.5,100000,95705,89025.8
19,10,0.55,110000,105174,97134.9
19,11,0.6,120000,114621,106271
19,12,0.65,130000,124048,115344
19,13,0.7,140000,133500,124578
19,14,0.75,150000,142934,134348
19,15,0.8,160000,152394,143393
19,16,0.85,170000,161819,151257
19,17,0.9,180000,171208,161108
19,18,0.95,190000,180627,170863
19,19,1,200000,190013,178309
20,0,0.05,10000,9713,10192.8
20,1,0.1,20000,19324,19295.2
20,2,0.15,30000,28925,29089.5
20,3,0.2,40000,38529,40075.6
20,4,0.25,50000,48102,50086.3
20,5,0.3,60000,57681,60882.7
20,6,0.35,70000,67204,70394
20,7,0.4,80000,76710,79595
20,8,0.45,90000,86227,87953.6
20,9,0.5,100000,95692,96843
20,10,0.55,110000,105115,105205
20,11,0.6,120000,114561,113412
20,12,0.65,130000,123979,122232
20,13,0.7,140000,133392,133566
20,14,0.75,150000,142822,142412
20,15,0.8,160000,152223,158300
20,16,0.85,170000,161621,167489
20,17,0.9,180000,171042,175074
20,18,0.95,190000,180452,184587
20,19,1,200000,189838,194794
21,0,0.05,10000,9708,9213.16
21,1,0.1,20000,19313,17961
21,2,0.15,30000,28895,27424.4
21,3,0.2,40000,38472,37901.5
21,4,0.25,50000,48024,48492.6
21,5,0.3,60000,57612,59267.8
21,6,0.35,70000,67097,68356.4
21,7,0.4,80000,76642,75747.4
21,8,0.45,90000,86154,83069
21,9,0.5,100000,95623,93816.7
21,10,0.55,110000,105062,101662
21,11,0.6,120000,114501,109839
21,12,0.65,130000,123987,120120
21,13,0.7,140000,133402,128537
21,14,0.75,150000,142859,138702
21,15,0.8,160000,152253,149938
21,16,0.85,170000,161673,157577
21,17,0.9,180000,171062,168770
21,18,0.95,190000,180442,178911
21,19,1,200000,189830,187621
22,0,0.05,10000,9694,9576.98
22,1,0.1,20000,19328,19846.2
22,2,0.15,30000,28943,28679.2
22,3,0.2,40000,38511,38819.1
22,4,0.25,50000,48066,46735.4
22,5,0.3,60000,57608,54604.8
22,6,0.35,70000,67122,63332.6
22,7,0.4,80000,76570,75586.9
22,8,0.45,90000,86106,84160.8
22,9,0.5,100000,95580,94823.1
22,10,0.55,110000,105042,108063
22,11,0.6,120000,114457,118010
22,12,0.65,130000,123920,130773
22,13,0.7,140000,133346,141548
22,14,0.75,150000,142778,148956
22,15,0.8,160000,152226,155727
22,16,0.85,170000,161621,166068
22,17,0.9,180000,171044,175804
22,18,0.95,190000,180454,184187
22,19,1,200000,189868,196508
23,0,0.05,10000,9721,9898.11
23,1,0.1,20000,19351,19757.2
23,2,0.15,30000,28919,29476.7
23,3,0.2,40000,38539,38429.4
23,4,0.25,50000,48089,47526.8
23,5,0.3,60000,57607,56962.3
23,6,0.35,70000,67167,64989.3
23,7,0.4,80000,76666,74743.2
23,8,0.45,90000,86140,85125.5
23,9,0.5,100000,95609,95826.2
23,10,0.55,110000,105087,105444
23,11,0.6,120000,114538,114509
23,12,0.65,130000,123984,122500
23,13,0.7,140000,133429,135411
23,14,0.75,150000,142851,143345
23,15,0.8,160000,152278,152939
23,16,0.85,170000,161708,164967
23,17,0.9,180000,171083,173845
23,18,0.95,190000,180470,180913
23,19,1,200000,189902,191790
24,0,0.05,10000,9758,9975.85
24,1,0.1,20000,19379,19277.4
24,2,0.15,30000,28989,28520.8
24,3,0.2,40000,38583,38389.4
24,4,0.25,50000,48174,48696.4
24,5,0.3,60000,57723,57929.2
24,6,0.35,70000,67206,67736.4
24,7,0.4,80000,76704,78732.2
24,8,0.45,90000,86203,87559.1
24,9,0.5,100000,95688,97104.2
24,10,0.55,110000,105154,105719
24,11,0.6,120000,114625,115349
24,12,0.65,130000,124095,124374
24,13,0.7,140000,133516,132878
24,14,0.75,150000,142976,145813
24,15,0.8,160000,152405,153924
24,16,0.85,170000,161814,161191
24,17,0.9,180000,171223,168373
24,18,0.95,190000,180614,181524
24,19,1,200000,190000,193634
25,0,0.05,10000,9716,9388.32
25,1,0.1,20000,19338,18864.2
25,2,0.15,30000,28934,28267.4
25,3,0.2,40000,38505,37882.6
25,4,0.25,50000,48072,47830.9
25,5,0.3,60000,57594,57777
25,6,0.35,70000,67102,68155.4
25,7,0.4,80000,76605,77979.6
25,8,0.45,90000,86121,87001.3
25,9,0.5,100000,95596,96534.4
25,10,0.55,110000,105058,107960
25,11,0.6,120000,114542,120301
25,12,0.65,130000,124023,130874
25,13,0.7,140000,133472,139567
25,14,0.75,150000,142919,150282
25,15,0.8,160000,152299,159688
25,16,0.85,170000,161726,167106
25,17,0.9,180000,171103,178847
25,18,0.95,190000,180502,190441
25,19,1,200000,189924,200778
